example_id                                                   | status  | run_time        |
------------------------------------------------------------ | ------- | --------------- |
./spec/feature/employee_admin_register_company_spec.rb[1:1]  | passed  | 0.53954 seconds |
./spec/feature/employee_admin_register_company_spec.rb[1:2]  | passed  | 0.33203 seconds |
./spec/feature/employee_admin_register_company_spec.rb[1:3]  | pending | 0.00003 seconds |
./spec/feature/employee_delete_job_spec.rb[1:1]              | passed  | 0.27569 seconds |
./spec/feature/employee_disable_job_spec.rb[1:1]             | passed  | 0.18949 seconds |
./spec/feature/employee_disable_job_spec.rb[1:2]             | passed  | 0.10571 seconds |
./spec/feature/employee_disable_job_spec.rb[1:3]             | passed  | 0.07159 seconds |
./spec/feature/employee_edit_jobs_spec.rb[1:1]               | passed  | 0.20744 seconds |
./spec/feature/employee_edit_jobs_spec.rb[1:2]               | passed  | 0.1065 seconds  |
./spec/feature/employee_register_jobs_spec.rb[1:1]           | passed  | 0.15725 seconds |
./spec/feature/employee_register_jobs_spec.rb[1:2]           | passed  | 0.10083 seconds |
./spec/feature/employee_register_yourself_spec.rb[1:1]       | passed  | 0.12169 seconds |
./spec/feature/employee_register_yourself_spec.rb[1:2]       | passed  | 0.11045 seconds |
./spec/feature/employee_register_yourself_spec.rb[1:3]       | passed  | 0.09116 seconds |
./spec/feature/employee_see_app_spec.rb[1:1]                 | passed  | 0.03336 seconds |
./spec/feature/employee_see_app_spec.rb[1:2]                 | passed  | 0.11477 seconds |
./spec/feature/employee_see_app_spec.rb[1:3]                 | passed  | 0.09469 seconds |
./spec/feature/employee_see_app_spec.rb[1:4]                 | passed  | 0.07293 seconds |
./spec/feature/employee_see_app_spec.rb[1:5]                 | passed  | 0.07586 seconds |
./spec/feature/employee_see_app_spec.rb[1:6]                 | passed  | 0.04395 seconds |
./spec/feature/employee_see_applied_job_seekers_spec.rb[1:1] | passed  | 0.12028 seconds |
./spec/feature/employee_see_applied_job_seekers_spec.rb[1:2] | passed  | 0.15504 seconds |
./spec/feature/employee_see_applied_job_seekers_spec.rb[1:3] | passed  | 0.19939 seconds |
./spec/feature/employee_sign_in_spec.rb[1:1]                 | passed  | 0.09462 seconds |
./spec/feature/employee_sign_in_spec.rb[1:2]                 | passed  | 0.07355 seconds |
./spec/feature/job_seeker_apply_yorself_to_job_spec.rb[1:1]  | passed  | 0.09235 seconds |
./spec/feature/job_seeker_apply_yorself_to_job_spec.rb[1:2]  | passed  | 0.08496 seconds |
./spec/feature/job_seeker_apply_yorself_to_job_spec.rb[1:3]  | passed  | 0.14839 seconds |
./spec/feature/job_seeker_edit_its_profile_spec.rb[1:1]      | passed  | 0.11677 seconds |
./spec/feature/job_seeker_edit_its_profile_spec.rb[1:2]      | passed  | 0.11917 seconds |
./spec/feature/job_seeker_edit_its_profile_spec.rb[1:3]      | passed  | 0.11032 seconds |
./spec/feature/job_seeker_edit_its_profile_spec.rb[1:4]      | passed  | 0.34955 seconds |
./spec/feature/job_seeker_edit_its_profile_spec.rb[1:5]      | passed  | 0.10615 seconds |
./spec/feature/job_seeker_register_yourself_spec.rb[1:1]     | passed  | 0.08557 seconds |
./spec/feature/job_seeker_register_yourself_spec.rb[1:2]     | pending | 0.00001 seconds |
./spec/feature/job_seeker_sign_in_spec.rb[1:1]               | passed  | 0.06355 seconds |
./spec/feature/job_seeker_sign_in_spec.rb[1:2]               | passed  | 0.04432 seconds |
./spec/feature/visit_search_spec.rb[1:1]                     | passed  | 0.03881 seconds |
./spec/feature/visit_search_spec.rb[1:2]                     | passed  | 0.06048 seconds |
./spec/feature/visit_search_spec.rb[1:3]                     | passed  | 0.06868 seconds |
./spec/feature/visit_see_app_spec.rb[1:1]                    | passed  | 0.02907 seconds |
./spec/feature/visit_see_app_spec.rb[1:2]                    | passed  | 0.08805 seconds |
./spec/feature/visit_see_app_spec.rb[1:3]                    | passed  | 0.04326 seconds |
./spec/feature/visit_see_app_spec.rb[1:4]                    | passed  | 0.10746 seconds |
./spec/models/company_address_spec.rb[1:1:1:1]               | passed  | 0.00892 seconds |
./spec/models/company_employee_spec.rb[1:1]                  | pending | 0.00001 seconds |
./spec/models/company_social_web_spec.rb[1:1]                | pending | 0.00001 seconds |
./spec/models/company_spec.rb[1:1:1:1]                       | passed  | 0.00527 seconds |
./spec/models/employee_spec.rb[1:1:1:1]                      | passed  | 0.03247 seconds |
./spec/models/employee_spec.rb[1:2:1]                        | passed  | 0.01839 seconds |
./spec/models/employee_spec.rb[1:3:1]                        | passed  | 0.034 seconds   |
./spec/models/job_disable_spec.rb[1:1]                       | pending | 0.00002 seconds |
./spec/models/job_seeker_spec.rb[1:1:1:1]                    | passed  | 0.06038 seconds |
./spec/models/job_seeker_spec.rb[1:1:2:1]                    | passed  | 0.07516 seconds |
./spec/models/job_seeker_spec.rb[1:1:3:1]                    | passed  | 0.09879 seconds |
./spec/models/job_seeker_spec.rb[1:1:3:2]                    | passed  | 0.0563 seconds  |
./spec/models/job_spec.rb[1:1:1:1]                           | passed  | 0.02696 seconds |
./spec/models/job_spec.rb[1:1:2:1]                           | passed  | 0.04694 seconds |
./spec/models/job_spec.rb[1:1:3:1]                           | passed  | 0.06028 seconds |
